sample_253	5	9	23	27	37	41
sample_254	6	10	20	24	38	42
sample_255	7	11	21	25	39	43
sample_256	0	12	22	26	37	41
sample_257	1	13	23	27	36	40
sample_258	2	14	20	24	39	43
sample_259	3	15	21	25	38	42
sample_260	4	8	18	30	33	45
sample_261	5	9	19	31	32	44
sample_262	6	10	16	28	35	47
sample_263	7	11	17	29	34	46
sample_264	0	13	20	25	33	44
sample_265	1	12	21	24	32	45
sample_266	2	15	22	27	35	46
sample_267	3	14	23	26	34	47
sample_268	4	9	16	29	37	40
sample_269	5	8	17	28	36	41
sample_270	6	11	18	31	39	42
sample_271	7	10	19	30	38	43
sample_272	0	14	18	28	38	40
sample_273	1	15	19	29	39	41
sample_274	2	12	16	30	36	42
sample_275	3	13	17	31	37	43
sample_276	4	10	22	24	34	44
sample_277	5	11	23	25	35	45
sample_278	6	8	20	26	32	46
sample_279	7	9	21	27	33	47
sample_280	0	15	16	31	34	45
sample_281	1	14	17	30	35	44
sample_282	2	13	18	29	32	47
sample_283	3	12	19	28	33	46
sample_284	4	11	20	27	38	41
sample_285	5	10	21	26	39	40
sample_286	6	9	22	25	36	43
sample_287	7	8	23	24	37	42
sample_288	0	8	21	29	35	43
sample_289	1	9	20	28	34	42
sample_290	2	10	23	31	33	41
sample_291	3	11	22	30	32	40
sample_292	4	12	17	25	39	47
sample_293	5	13	16	24	38	46
sample_294	6	14	19	27	37	45
sample_295	7	15	18	26	36	44
sample_296	0	9	23	30	39	46
sample_297	1	8	22	31	38	47
sample_298	2	11	21	28	37	44
sample_299	3	10	20	29	36	45
sample_300	4	13	19	26	35	42
sample_301	5	12	18	27	34	43
sample_302	6	15	17	24	33	40
sample_303	7	14	16	25	32	41
sample_304	0	10	17	27	32	42
sample_305	1	11	16	26	33	43
sample_306	2	8	19	25	34	40
sample_307	3	9	18	24	35	41
sample_308	4	14	21	31	36	46
sample_309	5	15	20	30	37	47
sample_310	6	12	23	29	38	44
sample_311	7	13	22	28	39	45
sample_312	0	11	19	24	36	47
sample_313	1	10	18	25	37	46
sample_314	2	9	17	26	38	45
sample_315	3	8	16	27	39	44
sample_316	4	15	23	28	32	43
sample_317	5	14	22	29	33	42
sample_318	6	13	21	30	34	41
sample_319	7	12	20	31	35	40
sample_320	0	13	18	31	35	46
sample_321	1	12	19	30	34	47
sample_322	2	15	16	29	33	44
sample_323	3	14	17	28	32	45
sample_324	4	9	22	27	39	42
sample_325	5	8	23	26	38	43
sample_326	6	11	20	25	37	40
sample_327	7	10	21	24	36	41
sample_328	0	12	16	28	39	43
sample_329	1	13	17	29	38	42
sample_330	2	14	18	30	37	41
sample_331	3	15	19	31	36	40
sample_332	4	8	20	24	35	47
sample_333	5	9	21	25	34	46
sample_334	6	10	22	26	33	45
sample_335	7	11	23	27	32	44
sample_336	0	15	22	25	32	47
sample_337	1	14	23	24	33	46
sample_338	2	13	20	27	34	45
sample_339	3	12	21	26	35	44
sample_340	4	11	18	29	36	43
sample_341	5	10	19	28	37	42
sample_342	6	9	16	31	38	41
sample_343	7	8	17	30	39	40
sample_344	0	14	20	26	36	42
